model_key,route_code,ship_id,cabin_class,sailing_date,forecasted_bookings,forecast_lower,forecast_upper,evaluation_mape
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-01-05,163,131,197,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-01-12,144,110,179,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-01-19,140,106,173,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-01-26,146,114,180,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-02-02,151,119,188,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-02-09,147,115,182,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-02-16,137,101,171,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-02-23,131,97,164,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-03-02,133,99,165,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-03-09,138,105,173,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-03-16,140,109,173,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-03-23,139,106,172,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-03-30,140,103,173,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-04-06,143,107,178,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-04-13,143,110,180,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-04-20,135,99,167,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-04-27,121,85,154,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-05-04,108,75,143,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-05-11,105,73,137,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-05-18,110,76,147,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-05-25,115,82,147,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-06-01,112,77,148,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-06-08,104,70,139,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-06-15,97,63,132,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-06-22,97,64,132,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-06-29,103,68,138,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-07-06,108,77,143,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-07-13,107,72,140,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-07-20,101,67,137,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-07-27,94,58,127,12.84
MUM-GOA_EMPRESS_INTERIOR,MUM-GOA,EMPRESS,INTERIOR,2025-08-03,91,56,124,12.84
